TAG_PARSER,TAG_TESTED,SEED,STDOUT_DIFF,STDERR_DIFF,CONFIG_DIFF,ORIG_EXIT_CODE,NEW_EXIT_CODE,BINDINGS_OK,DEFCONFIG_STDERR_DIFF_ORIG_VS_COPIED,DEFCONFIG_CONFIG_DIFF_ORIG_VS_COPIED,DEFCONFIG_STDOUT_DIFF_ORIG_VS_COPIED,ORIG_DEFCONFIG_RC,COPIED_DEFCONFIG_RC,ALLYESCONFIG_STDERR_DIFF_ORIG_VS_COPIED,ALLYESCONFIG_CONFIG_DIFF_ORIG_VS_COPIED,ALLYESCONFIG_STDOUT_DIFF_ORIG_VS_COPIED,ALLYESCONFIG_STDOUT_DIFF_ORIG_VS_COPIED,ORIG_ALLYESCONFIG_RC,COPIED_ALLYESCONFIG_RC
v6.14,v5.17,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.17,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.16,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.16,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.16,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.15,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.15,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.15,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.14,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.14,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.14,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.13,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.13,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.13,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.12,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.12,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.12,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.11,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.11,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.11,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.10,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.10,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.10,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.9,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.9,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.9,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.8,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.8,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.8,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.7,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.7,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.7,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.6,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.6,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.6,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.5,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.5,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.5,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.4,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.4,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.4,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.3,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.3,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.3,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.2,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.2,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.2,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.1,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.1,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.1,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.0,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.0,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v5.0,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.20,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.20,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.20,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.19,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.19,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.19,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.18,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.18,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
